Feature,#1 CNES 2091755,SP Median,#2 CNES 2081261,#3 CNES 2765934
clinical_to_diag_ratio,0.0,0.008528784648187633,0.04477611940298507,0.0234375
ct_scanners,0.0,0.0,0.0,0.0
doctors_per_bed,0.60625,1.9111111111111112,2.263157894736842,1.0
emergency_rate,1.0,0.8256880733944955,0.8029197080291971,0.7274853801169591
eq_total,475.0,268.0,77.0,121.0
expected_los,3.81291503495031,2.58325744712785,2.6426561761977005,3.1253467065840193
has_eswl,0.0,0.0,1.0,1.0
has_ureteroscopy,0.0,1.0,0.0,1.0
icu_beds,55.0,24.0,10.0,27.0
longstay_rate,0.06395348837209303,0.03535911602209945,0.0072992700729927005,0.04678362573099415
mean_cost,151.1846511627907,587.5706969696969,277.90532846715325,685.8271578947368
mean_los,2.4709302325581395,2.4615384615384617,1.437956204379562,2.037426900584795
median_los,2.0,2.0,1.0,1.0
migration_rate,0.05232558139534884,0.11864406779661017,0.06569343065693431,0.07719298245614035
mortality_rate,0.0,0.0,0.0,0.0023391812865497076
n_doctors,97.0,202.0,86.0,84.0
n_nurses,110.0,69.0,39.0,66.0
n_origin_cities,8.0,7.0,5.0,6.0
n_surgeons,1.0,0.0,0.0,0.0
n_unique_procs,5.0,9.0,6.0,31.0
n_urologists,40.0,73.0,30.0,30.0
nurses_per_bed,0.6875,0.6641221374045801,1.0263157894736843,0.7857142857142857
overperf_pct,35.195769905469696,3.4243578940636556,45.58670865581469,34.80957180550098
overperf_score,1.3419848023921706,0.09970736994377738,1.2046999718181386,1.087919805999224
pct_clinical_mgmt,0.0,0.00451559934318555,0.021897810218978103,0.0035087719298245615
pct_diagnostic,0.6686046511627907,0.42857142857142855,0.48905109489051096,0.1497076023391813
pct_interventional,0.0,0.02127659574468085,0.0,0.11695906432748537
pct_monday,0.1569767441860465,0.15601503759398497,0.2773722627737226,0.13333333333333333
pct_surgical,0.0,0.14950166112956811,0.21897810218978103,0.6912280701754386
pct_weekend,0.2441860465116279,0.175,0.06569343065693431,0.1497076023391813
pib_per_capita,828980747.0,7954300.0,3393229.0,16008645.0
populacao,12396372.0,149718.0,63310.0,91637.0
proc_diversity_ratio,0.9702536540603582,1.8489853726988281,1.2177168831542655,4.591048384190067
revenue_per_bed_day,61.18531764705882,206.1161670395227,193.26411167512688,336.6143628013777
sameday_rate,0.4476744186046512,0.3755274261603376,0.635036496350365,0.6175438596491228
surg_to_diag_ratio,0.0,0.32142857142857145,0.44776119402985076,4.6171875
surgical_beds,0.0,0.0,0.0,0.0
total_beds_sus,160.0,93.0,38.0,84.0
total_volume,172.0,167.0,137.0,855.0
urologists_per_100_cases,23.25581395348837,25.0,21.897810218978105,3.508771929824561
